Shrub,Bin Start,Bin Middle,Bin End,d15N (float)
BV14B,1975,1976,1977,-1.65
BV14B,1978,1979,1980,-2.235
BV14B,1981,1982,1983,-2.29
BV14B,1984,1985,1986,-2.53
BV14B,1987,1988,1989,-2.19
BV14B,1990,1991,1992,-2.72
BV14B,1993,1994,1995,-2.42
BV14B,1996,1997,1998,-1.485
BV14B,1999,2000,2001,-2.11
BV14B,2002,2003,2004,-2.07
BV14B,2005,2006,2007,-2.525
BV14B,2008,2009,2010,-2.68
BV25AB,1975,1976,1977,-0.22
BV25AB,1978,1979,1980,-0.565
BV25AB,1981,1982,1983,-1.2
BV25AB,1984,1985,1986,-0.79
BV25AB,1987,1988,1989,-1.015
BV25AB,1990,1991,1992,-1.62
BV25AB,1993,1994,1995,-2.27
BV25AB,1996,1997,1998,-2.075
BV25AB,1999,2000,2001,-1.88
BV25AB,2002,2003,2004,-2.45
BV25AB,2005,2006,2007,-2.015
BV05AB,1960,1961,1962,-1.52
BV05AB,1963,1964,1965,-0.87
BV05AB,1969,1970,1971,-1.52
BV05AB,1972,1973,1974,-0.73
BV05AB,1975,1976,1977,-1.39
BV05AB,1978,1979,1980,-1.15
BV05AB,1981,1982,1983,-1.58
BV05AB,1984,1985,1986,-1
BV05AB,1987,1988,1989,-0.685
BV05AB,1990,1991,1992,-1
BV05AB,1993,1994,1995,-1.075
BV05AB,1996,1997,1998,-0.8
BV05AB,1999,2000,2001,-0.98
BV05AB,2002,2003,2004,-1
BV05AB,2005,2006,2007,-0.51
MYSL9A,1981,1982,1983,2.92
MYSL9A,1984,1985,1986,2.78
MYSL9A,1987,1988,1989,2.6
MYSL9A,1990,1991,1992,2.67
MYSL9A,1993,1994,1995,2.3
MYSL9A,1996,1997,1998,2.82
MYSL9A,1999,2000,2001,1.76
MYSL9A,2002,2003,2004,3.04
MYSL9A,2005,2006,2007,2.82
MYSL9A,2008,2009,2010,2.74
S8N0107A,1951,1952,1953,-1.415
S8N0107A,1954,1955,1956,-1.54
S8N0107A,1957,1958,1959,-1.37
S8N0107A,1960,1961,1962,-2.43
S8N0107A,1963,1964,1965,-2.5
S8N0107A,1966,1967,1968,-2.6
S8N0107A,1969,1970,1971,-2.52
S8N0107A,1972,1973,1974,-2.52
S8N0107A,1975,1976,1977,-2.54
S8N0107A,1978,1979,1980,-2.49
S8N0107A,1981,1982,1983,-2.87
S8N0107A,1984,1985,1986,-2.7
S8N0107A,1987,1988,1989,-2.875
S8N0107A,1990,1991,1992,-2.98
S8N0107A,1993,1994,1995,-2.22
S8N0107A,1996,1997,1998,-2.315
S8N0107A,1999,2000,2001,-2.01
S8N0107A,2002,2003,2004,-1.15
S8N0110A,1954,1955,1956,-0.59
S8N0110A,1957,1958,1959,-1.22
S8N0110A,1960,1961,1962,-1.94
S8N0110A,1963,1964,1965,-1.48
S8N0110A,1966,1967,1968,-1.32
S8N0110A,1969,1970,1971,-1.085
S8N0110A,1972,1973,1974,-1.68
S8N0110A,1975,1976,1977,-1.14
S8N0110A,1978,1979,1980,-2.115
S8N0110A,1981,1982,1983,-1.96
S8N0110A,1984,1985,1986,-2.18
S8N0110A,1987,1988,1989,-2.315
S8N0110A,1990,1991,1992,-2.15
S8N0110A,1993,1994,1995,-2.78
S8N0110A,1996,1997,1998,-2.28
S8N0110A,1999,2000,2001,-2.43
S8N0113A,1975,1976,1977,-0.49
S8N0113A,1978,1979,1980,-1.485
S8N0113A,1981,1982,1983,-1.26
S8N0113A,1984,1985,1986,-1.61
S8N0113A,1987,1988,1989,-0.725
S8N0113A,1990,1991,1992,-0.91
S8N0113A,1993,1994,1995,-1.326
S8N0113A,1996,1997,1998,-1.395
S8N0113A,1999,2000,2001,-0.89
S8N0113A,2002,2003,2004,-0.82
S8N0115A,1954,1955,1956,-1.55
S8N0115A,1957,1958,1959,-1.96
S8N0115A,1960,1961,1962,-1.84
S8N0115A,1963,1964,1965,-2.29
S8N0115A,1966,1967,1968,-2.71
S8N0115A,1969,1970,1971,-2.41
S8N0115A,1972,1973,1974,-1.96
S8N0115A,1975,1976,1977,-1.82
S8N0115A,1978,1979,1980,-2.1
S8N0115A,1981,1982,1983,-3.42
S8N0115A,1984,1985,1986,-3.06
S8N0115A,1987,1988,1989,-2.79
S8N0115A,1990,1991,1992,-2.73
S8N0115A,1993,1994,1995,-2.57
S8N0115A,1996,1997,1998,-2.07
S8N0115A,1999,2000,2001,-2.01
S8N0115A,2002,2003,2004,-1.76
S8N0121A,1957,1958,1959,-1.19
S8N0121A,1960,1961,1962,-1.88
S8N0121A,1963,1964,1965,-1.9
S8N0121A,1966,1967,1968,-2.23
S8N0121A,1969,1970,1971,-1.2
S8N0121A,1972,1973,1974,-1.08
S8N0121A,1975,1976,1977,-1.02
S8N0121A,1978,1979,1980,-0.98
S8N0121A,1981,1982,1983,-0.97
S8N0121A,1984,1985,1986,-0.97
S8N0121A,1987,1988,1989,-0.95
S8N0121A,1990,1991,1992,-0.56
S8N0121A,1993,1994,1995,-0.68
S8N0121A,1996,1997,1998,-0.72
S8N0121A,1999,2000,2001,-0.7
