Year,Plant Code,Increment (mm)
1932,BV01AB,0.45
1933,BV01AB,0.51
1934,BV01AB,0.25
1935,BV01AB,0.26
1936,BV01AB,0.31
1937,BV01AB,0.27
1938,BV01AB,0.4
1939,BV01AB,0.32
1940,BV01AB,0.3
1941,BV01AB,0.31
1942,BV01AB,0.35
1943,BV01AB,0.39
1944,BV01AB,0.26
1945,BV01AB,0.32
1946,BV01AB,0.26
1947,BV01AB,0.27
1948,BV01AB,0.36
1949,BV01AB,0.05
1950,BV01AB,0.12
1951,BV01AB,0.24
1952,BV01AB,0.11
1953,BV01AB,0.21
1954,BV01AB,0.21
1955,BV01AB,0.2
1956,BV01AB,0.32
1957,BV01AB,0.27
1958,BV01AB,0.2
1959,BV01AB,0.39
1960,BV01AB,0.38
1961,BV01AB,0.49
1962,BV01AB,0.82
1963,BV01AB,0.5
1964,BV01AB,0.45
1965,BV01AB,0.41
1966,BV01AB,0.39
1967,BV01AB,0.41
1968,BV01AB,0.02
1969,BV01AB,0.2
1970,BV01AB,0.16
1971,BV01AB,0
1972,BV01AB,0.17
1973,BV01AB,0.18
1974,BV01AB,0.29
1975,BV01AB,0.23
1976,BV01AB,0.39
1977,BV01AB,0.35
1978,BV01AB,0.15
1979,BV01AB,0.34
1980,BV01AB,0.2
1981,BV01AB,0.39
1982,BV01AB,0.48
1983,BV01AB,0.57
1984,BV01AB,0.51
1985,BV01AB,0.24
1986,BV01AB,0.26
1987,BV01AB,0.2
1988,BV01AB,0.18
1989,BV01AB,0.11
1990,BV01AB,0.15
1991,BV01AB,0.01
1992,BV01AB,0
1993,BV01AB,0.27
1994,BV01AB,0.33
1995,BV01AB,0.15
1996,BV01AB,0.41
1997,BV01AB,0.05
1998,BV01AB,0.53
1999,BV01AB,0.37
2000,BV01AB,0.29
2001,BV01AB,0.22
2002,BV01AB,0.05
2003,BV01AB,0.34
2004,BV01AB,0.55
2005,BV01AB,0.27
2006,BV01AB,0.37
2007,BV01AB,0.41
2008,BV01AB,0.42
2009,BV01AB,0.45
2010,BV01AB,0.05
1954,BV05AB,0.43
1955,BV05AB,0.37
1956,BV05AB,0.34
1957,BV05AB,0.32
1958,BV05AB,0.21
1959,BV05AB,0.25
1960,BV05AB,0.36
1961,BV05AB,0.4
1962,BV05AB,0.37
1963,BV05AB,0.3
1964,BV05AB,0.48
1965,BV05AB,0.61
1966,BV05AB,0.69
1967,BV05AB,0.81
1968,BV05AB,0.05
1969,BV05AB,0.69
1970,BV05AB,0.49
1971,BV05AB,0
1972,BV05AB,0.61
1973,BV05AB,0.38
1974,BV05AB,0.72
1975,BV05AB,0.24
1976,BV05AB,0.66
1977,BV05AB,0.5
1978,BV05AB,0.29
1979,BV05AB,0.68
1980,BV05AB,0.35
1981,BV05AB,0.58
1982,BV05AB,0.6
1983,BV05AB,0.59
1984,BV05AB,0.54
1985,BV05AB,0.44
1986,BV05AB,0.52
1987,BV05AB,0.53
1988,BV05AB,0.44
1989,BV05AB,0.81
1990,BV05AB,0.59
1991,BV05AB,0.85
1992,BV05AB,0.33
1993,BV05AB,0.96
1994,BV05AB,0.86
1995,BV05AB,0.6
1996,BV05AB,0.34
1997,BV05AB,0
1998,BV05AB,0.53
1999,BV05AB,0.06
2000,BV05AB,0.39
2001,BV05AB,0.5
2002,BV05AB,0.21
2003,BV05AB,0.3
2004,BV05AB,0.37
2005,BV05AB,0.42
2006,BV05AB,0.37
2007,BV05AB,0.45
2008,BV05AB,0.34
2009,BV05AB,0.39
1949,BV06B,0.26
1950,BV06B,0.32
1951,BV06B,0.41
1952,BV06B,0.52
1953,BV06B,0.27
1954,BV06B,0.35
1955,BV06B,0.42
1956,BV06B,0.44
1957,BV06B,0.3
1958,BV06B,0
1959,BV06B,0.17
1960,BV06B,0.42
1961,BV06B,0.48
1962,BV06B,0.59
1963,BV06B,0.34
1964,BV06B,0.31
1965,BV06B,0.28
1966,BV06B,0.42
1967,BV06B,0.44
1968,BV06B,0
1969,BV06B,0.28
1970,BV06B,0.23
1971,BV06B,0
1972,BV06B,0.44
1973,BV06B,0.2
1974,BV06B,0.62
1975,BV06B,0.28
1976,BV06B,0.49
1977,BV06B,0.47
1978,BV06B,0.21
1979,BV06B,0.36
1980,BV06B,0.31
1981,BV06B,0.32
1982,BV06B,0.64
1983,BV06B,0.65
1984,BV06B,0.67
1985,BV06B,0.47
1986,BV06B,0.34
1987,BV06B,0.5
1988,BV06B,0.7
1989,BV06B,0.91
1990,BV06B,0.74
