Year,Mean JJA Max Temperature (K)
01/01/1926,280.85
01/01/1928,281.96
01/01/1929,281.18
01/01/1930,281.61
01/01/1931,283.76
01/01/1932,280.81
01/01/1933,281.12
01/01/1934,280.37
01/01/1935,279.74
01/01/1936,280.29
01/01/1937,281.66
01/01/1938,282.45
01/01/1939,281.34
01/01/1940,281.89
01/01/1941,281.47
01/01/1942,284.47
01/01/1943,284.12
01/01/1944,281.15
01/01/1945,283.91
01/01/1946,279.26
01/01/1947,280.67
01/01/1948,282.01
01/01/1949,278.40
01/01/1950,281.70
01/01/1951,280.63
01/01/1952,281.94
01/01/1953,283.88
01/01/1954,284.13
01/01/1955,283.96
01/01/1956,285.24
01/01/1957,283.87
01/01/1958,280.20
01/01/1959,284.97
01/01/1960,279.88
01/01/1961,284.23
01/01/1962,283.93
01/01/1963,282.83
01/01/1964,282.17
01/01/1965,282.79
01/01/1966,280.94
01/01/1967,283.61
01/01/1968,278.47
01/01/1969,280.26
01/01/1970,279.42
01/01/1971,280.44
01/01/1972,281.21
01/01/1973,282.32
01/01/1974,282.68
01/01/1975,279.98
01/01/1976,282.75
01/01/1977,283.67
01/01/1978,279.99
01/01/1979,282.55
01/01/1980,279.46
01/01/1981,282.46
01/01/1982,282.72
01/01/1983,282.60
01/01/1984,284.72
01/01/1985,281.13
01/01/1986,281.06
01/01/1987,281.38
01/01/1988,282.15
01/01/1989,284.14
01/01/1990,284.91
01/01/1991,283.29
01/01/1992,280.79
01/01/1993,285.37
01/01/1994,283.89
01/01/1995,284.08
01/01/1996,281.86
01/01/1997,278.70
01/01/1998,283.34
01/01/1999,279.81
01/01/2000,284.49
01/01/2001,283.45
01/01/2002,283.27
01/01/2003,283.08
01/01/2004,284.08
01/01/2005,283.76
01/01/2006,283.22
01/01/2007,283.71
01/01/2008,283.51
01/01/2009,282.97
01/01/2010,280.33
01/01/2011,281.40
01/01/2012,285.67
01/01/2013,284.97
01/01/2015,284.27
01/01/2016,288.83
01/01/2017,283.73
01/01/2018,281.19
