Date,Plant Code,Predictor 2,Uncertainty
01/01/1980,YUSL14A,-0.36,0
01/01/1981,YUSL14A,-1.16,0
01/01/1982,YUSL14A,-1.32,0
01/01/1983,YUSL14A,-1.375,0
01/01/1984,YUSL14A,-1.43,0
01/01/1985,YUSL14A,-2.13,0
01/01/1986,YUSL14A,-1.64,0
01/01/1987,YUSL14A,-1.825,0
01/01/1988,YUSL14A,-2.75,0
01/01/1989,YUSL14A,-2.12,0
01/01/1990,YUSL14A,-2.29,0
01/01/1991,YUSL14A,-2.525,0
01/01/1992,YUSL14A,-2.52,0
01/01/1993,YUSL14A,-2.85,0
01/01/1994,YUSL14A,-2.69,0
01/01/1995,YUSL14A,-2.455,0
01/01/1996,YUSL14A,-1.9,0
01/01/1997,YUSL14A,-1.79,0
01/01/1998,YUSL14A,-2.33,0
01/01/1999,YUSL14A,-1.68,0
01/01/2000,YUSL14A,-1.78,0
01/01/2001,YUSL14A,-1.78,0
01/01/2002,YUSL14A,-1.67,0
01/01/2003,YUSL14A,-1.645,0
01/01/2004,YUSL14A,-1.62,0
01/01/2005,YUSL14A,-1.91,0
01/01/2006,YUSL14A,-1.69,0
01/01/2007,YUSL14A,-1.825,0
01/01/2008,YUSL14A,-1.99,0
01/01/2009,YUSL14A,-2.27,0
01/01/2010,YUSL14A,-1.53,0
01/01/2011,YUSL14A,-1.555,0
01/01/2012,YUSL14A,-1.81,0
01/01/2013,YUSL14A,-1.89,0
01/01/1980,YUSL21A,-1.08,0
01/01/1981,YUSL21A,-0.505,0
01/01/1982,YUSL21A,-0.96,0
01/01/1983,YUSL21A,-0.57,0
01/01/1984,YUSL21A,-0.69,0
01/01/1985,YUSL21A,-1.15,0
01/01/1986,YUSL21A,-1.06,0
01/01/1987,YUSL21A,-1.2,0
01/01/1988,YUSL21A,-1.3,0
01/01/1989,YUSL21A,-1.22,0
01/01/1990,YUSL21A,-0.85,0
01/01/1991,YUSL21A,-1.47,0
01/01/1992,YUSL21A,-0.78,0
01/01/1993,YUSL21A,-1.035,0
01/01/1994,YUSL21A,-1.3,0
01/01/1995,YUSL21A,-1.61,0
01/01/1996,YUSL21A,-1.54,0
01/01/1997,YUSL21A,-1.42,0
01/01/1998,YUSL21A,-1.3,0
01/01/1999,YUSL21A,-1.29,0
01/01/2000,YUSL21A,-1.12,0
01/01/2001,YUSL21A,-0.24,0
01/01/2002,YUSL21A,-1.09,0
01/01/2003,YUSL21A,-1.13,0
