Date,Plant Code,Predictor (float),Uncertainty
1980-01-01,YUSL14A,-0.36,0
1981-01-01,YUSL14A,-1.16,0
1982-01-01,YUSL14A,-1.32,0
1983-01-01,YUSL14A,-1.375,0
1984-01-01,YUSL14A,-1.43,0
1985-01-01,YUSL14A,-2.13,0
1986-01-01,YUSL14A,-1.64,0
1987-01-01,YUSL14A,-1.825,0
1988-01-01,YUSL14A,-2.75,0
1989-01-01,YUSL14A,-2.12,0
1990-01-01,YUSL14A,-2.29,0
1991-01-01,YUSL14A,-2.525,0
1992-01-01,YUSL14A,-2.52,0
1993-01-01,YUSL14A,-2.85,0
1994-01-01,YUSL14A,-2.69,0
1995-01-01,YUSL14A,-2.455,0
1996-01-01,YUSL14A,-1.9,0
1997-01-01,YUSL14A,-1.79,0
1998-01-01,YUSL14A,-2.33,0
1999-01-01,YUSL14A,-1.68,0
2000-01-01,YUSL14A,-1.78,0
2001-01-01,YUSL14A,-1.78,0
2002-01-01,YUSL14A,-1.67,0
2003-01-01,YUSL14A,-1.645,0
2004-01-01,YUSL14A,-1.62,0
2005-01-01,YUSL14A,-1.91,0
2006-01-01,YUSL14A,-1.69,0
2007-01-01,YUSL14A,-1.825,0
2008-01-01,YUSL14A,-1.99,0
2009-01-01,YUSL14A,-2.27,0
2010-01-01,YUSL14A,-1.53,0
2011-01-01,YUSL14A,-1.555,0
2012-01-01,YUSL14A,-1.81,0
1980-01-01,YUSL21A,-1.08,0
1981-01-01,YUSL21A,-0.505,0
1982-01-01,YUSL21A,-0.96,0
1983-01-01,YUSL21A,-0.57,0
1984-01-01,YUSL21A,-0.69,0
1985-01-01,YUSL21A,-1.15,0
1986-01-01,YUSL21A,-1.06,0
1987-01-01,YUSL21A,-1.2,0
1988-01-01,YUSL21A,-1.3,0
1989-01-01,YUSL21A,-1.22,0
1990-01-01,YUSL21A,-0.85,0
1991-01-01,YUSL21A,-1.47,0
1992-01-01,YUSL21A,-0.78,0
1993-01-01,YUSL21A,-1.035,0
1994-01-01,YUSL21A,-1.3,0
1995-01-01,YUSL21A,-1.61,0
1996-01-01,YUSL21A,-1.54,0
1998-01-01,YUSL21A,-1.3,0
1999-01-01,YUSL21A,-1.29,0
2000-01-01,YUSL21A,-1.12,0
2001-01-01,YUSL21A,-0.24,0
2002-01-01,YUSL21A,-1.09,0
2003-01-01,YUSL21A,-1.13,0
2004-01-01,YUSL21A,-1.29,0
2005-01-01,YUSL21A,-1.315,0
2006-01-01,YUSL21A,-1.13,0
2007-01-01,YUSL21A,-0.93,0
2008-01-01,YUSL21A,-1.07,0
2009-01-01,YUSL21A,-1.23,0
2010-01-01,YUSL21A,-1.73,0
2012-01-01,YUSL21A,-1.67,0
1981-01-01,YUSL09A,0.015,0
1982-01-01,YUSL09A,-0.04,0
1983-01-01,YUSL09A,-0.23,0
1984-01-01,YUSL09A,-0.38,0
1985-01-01,YUSL09A,0.365,0
1986-01-01,YUSL09A,-0.41,0
1987-01-01,YUSL09A,-0.31,0
1988-01-01,YUSL09A,-0.17,0
1989-01-01,YUSL09A,-0.04,0
1990-01-01,YUSL09A,-0.03,0
1991-01-01,YUSL09A,0.43,0
1992-01-01,YUSL09A,0,0
1993-01-01,YUSL09A,-0.235,0
1994-01-01,YUSL09A,-0.31,0
1995-01-01,YUSL09A,-0.03,0
1996-01-01,YUSL09A,0.16,0
1997-01-01,YUSL09A,0.12,0
1998-01-01,YUSL09A,-0.38,0
1999-01-01,YUSL09A,0.25,0
2000-01-01,YUSL09A,0.7,0
2001-01-01,YUSL09A,0.66,0
2002-01-01,YUSL09A,1.37,0
2003-01-01,YUSL09A,0.74,0
2004-01-01,YUSL09A,1.1,0
2005-01-01,YUSL09A,0.67,0
2006-01-01,YUSL09A,0.16,0
2007-01-01,YUSL09A,0.2,0
2008-01-01,YUSL09A,0.78,0
2009-01-01,YUSL09A,0.555,0
2010-01-01,YUSL09A,0.42,0
2011-01-01,YUSL09A,-0.05,0
2012-01-01,YUSL09A,-0.06,0
